Invoice,Branch,City,Type,Gender,Category,Cost,Sale,Date,Year,Month,Day,Date2,Time,Payment,Review
326-78-5178,C,Houston,Member,Male,Food and beverages, $639.80 , $671.79 ,02/03/19,2019,2,3,03/02/19,10:19:00,Cash,9.5
162-48-8011,A,Nueva York,Member,Female,Food and beverages, $222.95 , $234.10 ,02/10/19,2019,2,10,10/02/19,15:10:00,Cash,8.5
616-24-2851,B,Chicago,Member,Female,Fashion accessories, $71.48 , $75.05 ,3/22/2019,2019,3,22,22/03/19,14:42:00,Ewallet,6.5
778-71-5554,C,Houston,Member,Male,Fashion accessories, $15.43 , $16.20 ,1/25/2019,2019,1,25,25/01/19,15:46:00,Credit card,6.1
242-55-6721,B,Chicago,Normal,Male,Home and lifestyle, $32.32 , $33.94 ,03/07/19,2019,3,7,07/03/19,11:49:00,Ewallet,6.5
399-46-5918,C,Houston,Normal,Female,Electronic accessories, $687.84 , $722.23 ,2/28/2019,2019,2,28,28/02/19,19:01:00,Cash,8.2
106-35-6779,A,Nueva York,Member,Male,Home and lifestyle, $88.68 , $93.11 ,3/27/2019,2019,3,27,27/03/19,11:26:00,Cash,5.8
635-40-6220,A,Nueva York,Normal,Male,Health and beauty, $716.80 , $752.64 ,02/07/19,2019,2,7,07/02/19,11:28:00,Ewallet,6.6
817-48-8732,A,Nueva York,Member,Female,Home and lifestyle, $723.50 , $759.68 ,1/20/2019,2019,1,20,20/01/19,15:55:00,Cash,5.4
120-06-4233,C,Houston,Normal,Male,Electronic accessories, $183.66 , $192.84 ,03/12/19,2019,3,12,12/03/19,20:36:00,Cash,9.3
285-68-5083,C,Houston,Member,Female,Sports and travel, $74.22 , $77.93 ,2/15/2019,2019,2,15,15/02/19,17:47:00,Credit card,10.0
803-83-5989,C,Houston,Normal,Male,Home and lifestyle, $334.38 , $351.10 ,2/24/2019,2019,2,24,24/02/19,10:55:00,Ewallet,7.0
347-34-2234,B,Chicago,Member,Female,Sports and travel, $495.63 , $520.41 ,02/03/19,2019,2,3,03/02/19,13:40:00,Ewallet,10.0
199-75-8169,A,Nueva York,Member,Male,Sports and travel, $158.10 , $166.01 ,03/06/19,2019,3,6,06/03/19,12:27:00,Credit card,8.6
853-23-2453,B,Chicago,Member,Male,Health and beauty, $302.96 , $318.11 ,2/14/2019,2019,2,14,14/02/19,14:35:00,Cash,7.6
877-22-3308,A,Nueva York,Member,Male,Health and beauty, $158.70 , $166.64 ,3/13/2019,2019,3,13,13/03/19,16:40:00,Cash,5.8
838-78-4295,C,Houston,Normal,Female,Health and beauty, $66.94 , $70.29 ,02/10/19,2019,2,10,10/02/19,15:43:00,Ewallet,6.7
109-28-2512,B,Chicago,Member,Female,Fashion accessories, $585.66 , $614.94 ,01/07/19,2019,1,7,07/01/19,15:01:00,Ewallet,9.9
232-11-3025,A,Nueva York,Normal,Male,Sports and travel, $787.70 , $827.09 ,1/24/2019,2019,1,24,24/01/19,10:04:00,Cash,6.4
382-03-4532,A,Nueva York,Member,Female,Health and beauty, $18.33 , $19.25 ,02/02/19,2019,2,2,02/02/19,18:50:00,Cash,4.3
393-65-2792,C,Houston,Normal,Male,Food and beverages, $894.80 , $939.54 ,01/06/19,2019,1,6,06/01/19,12:46:00,Credit card,9.6
796-12-2025,C,Houston,Normal,Male,Fashion accessories, $621.20 , $652.26 ,02/11/19,2019,2,11,11/02/19,16:19:00,Cash,5.9
510-95-6347,B,Chicago,Member,Female,Food and beverages, $145.56 , $152.84 ,03/05/19,2019,3,5,05/03/19,18:17:00,Ewallet,4.0
841-35-6630,C,Houston,Normal,Female,Electronic accessories, $455.46 , $478.23 ,03/09/19,2019,3,9,09/03/19,18:21:00,Cash,8.7
287-21-9091,A,Nueva York,Normal,Male,Home and lifestyle, $672.03 , $705.63 ,1/22/2019,2019,1,22,22/01/19,10:55:00,Ewallet,9.4
732-94-0499,C,Houston,Normal,Female,Electronic accessories, $416.50 , $437.33 ,1/13/2019,2019,1,13,13/01/19,17:04:00,Credit card,5.4
263-10-3913,C,Houston,Member,Male,Fashion accessories, $441.36 , $463.43 ,01/09/19,2019,1,9,09/01/19,14:20:00,Credit card,8.6
381-20-0914,A,Nueva York,Member,Female,Fashion accessories, $180.09 , $189.09 ,01/12/19,2019,1,12,12/01/19,15:48:00,Credit card,5.7
829-49-1914,C,Houston,Member,Female,Food and beverages, $783.10 , $822.26 ,03/05/19,2019,3,5,05/03/19,16:24:00,Ewallet,6.6
756-01-7507,C,Houston,Normal,Female,Health and beauty, $101.90 , $107.00 ,1/22/2019,2019,1,22,22/01/19,18:56:00,Cash,6.0
870-72-4431,C,Houston,Normal,Female,Health and beauty, $595.14 , $624.90 ,1/21/2019,2019,1,21,21/01/19,14:42:00,Credit card,5.5
847-38-7188,B,Chicago,Normal,Female,Food and beverages, $290.04 , $304.54 ,1/26/2019,2019,1,26,26/01/19,19:56:00,Ewallet,6.4
480-63-2856,C,Houston,Normal,Male,Food and beverages, $154.00 , $161.70 ,1/23/2019,2019,1,23,23/01/19,18:37:00,Ewallet,6.6
787-56-0757,C,Houston,Member,Female,Food and beverages, $321.44 , $337.51 ,2/23/2019,2019,2,23,23/02/19,18:45:00,Credit card,8.3
360-39-5055,C,Houston,Member,Male,Sports and travel, $244.55 , $256.78 ,03/09/19,2019,3,9,09/03/19,10:17:00,Cash,6.6
730-50-9884,C,Houston,Normal,Female,Sports and travel, $581.42 , $610.49 ,03/05/19,2019,3,5,05/03/19,14:31:00,Ewallet,4.0
362-58-8315,C,Houston,Normal,Male,Fashion accessories, $382.60 , $401.73 ,3/25/2019,2019,3,25,25/03/19,10:23:00,Cash,9.9
633-44-8566,A,Nueva York,Member,Male,Food and beverages, $345.66 , $362.94 ,3/27/2019,2019,3,27,27/03/19,20:35:00,Credit card,7.3
504-35-8843,A,Nueva York,Normal,Male,Sports and travel, $42.47 , $44.59 ,01/02/19,2019,1,2,02/01/19,16:57:00,Cash,5.7
318-68-5053,B,Chicago,Normal,Female,Health and beauty, $461.94 , $485.04 ,2/27/2019,2019,2,27,27/02/19,17:55:00,Cash,6.1
565-80-5980,C,Houston,Member,Female,Home and lifestyle, $189.52 , $199.00 ,1/23/2019,2019,1,23,23/01/19,10:25:00,Cash,7.1
225-32-0908,C,Houston,Normal,Female,Sports and travel, $448.60 , $471.03 ,1/26/2019,2019,1,26,26/01/19,19:54:00,Ewallet,8.2
873-51-0671,A,Nueva York,Member,Female,Sports and travel, $153.86 , $161.55 ,01/10/19,2019,1,10,10/01/19,16:42:00,Ewallet,5.1
152-08-9985,B,Chicago,Member,Male,Health and beauty, $579.24 , $608.20 ,03/12/19,2019,3,12,12/03/19,12:09:00,Credit card,8.6
512-91-0811,C,Houston,Normal,Male,Health and beauty, $89.75 , $94.24 ,02/06/19,2019,2,6,06/02/19,20:05:00,Credit card,6.6
594-34-4444,A,Nueva York,Normal,Male,Electronic accessories, $97.16 , $102.02 ,03/08/19,2019,3,8,08/03/19,20:38:00,Ewallet,7.2
766-85-7061,B,Chicago,Normal,Male,Health and beauty, $878.70 , $922.64 ,3/29/2019,2019,3,29,29/03/19,10:25:00,Ewallet,5.1
871-39-9221,C,Houston,Normal,Female,Electronic accessories, $74.70 , $78.44 ,02/09/19,2019,2,9,09/02/19,13:11:00,Cash,4.1
865-92-6136,A,Nueva York,Normal,Male,Food and beverages, $158.25 , $166.16 ,3/23/2019,2019,3,23,23/03/19,10:16:00,Ewallet,9.3
733-01-9107,B,Chicago,Normal,Male,Home and lifestyle, $496.20 , $521.01 ,03/05/19,2019,3,5,05/03/19,18:14:00,Cash,7.4
163-56-7055,C,Houston,Member,Male,Fashion accessories, $48.71 , $51.15 ,3/26/2019,2019,3,26,26/03/19,19:20:00,Cash,4.1
189-98-2939,C,Houston,Normal,Male,Fashion accessories, $706.95 , $742.30 ,03/01/19,2019,3,1,01/03/19,13:22:00,Cash,7.2
551-21-3069,C,Houston,Normal,Female,Electronic accessories, $207.63 , $218.01 ,02/01/19,2019,2,1,01/02/19,11:27:00,Cash,4.9
212-62-1842,A,Nueva York,Normal,Male,Food and beverages, $349.56 , $367.04 ,3/28/2019,2019,3,28,28/03/19,16:44:00,Cash,9.9
716-39-1409,B,Chicago,Normal,Male,Health and beauty, $212.45 , $223.07 ,3/19/2019,2019,3,19,19/03/19,18:19:00,Cash,8.0
704-48-3927,A,Nueva York,Member,Male,Electronic accessories, $886.70 , $931.04 ,01/12/19,2019,1,12,12/01/19,14:50:00,Ewallet,7.3
628-34-3388,C,Houston,Normal,Male,Fashion accessories, $164.28 , $172.49 ,01/05/19,2019,1,5,05/01/19,20:54:00,Credit card,7.9
630-74-5166,A,Nueva York,Normal,Male,Sports and travel, $372.78 , $391.42 ,3/22/2019,2019,3,22,22/03/19,20:19:00,Cash,7.4
588-01-7461,C,Houston,Normal,Female,Food and beverages, $305.82 , $321.11 ,3/24/2019,2019,3,24,24/03/19,10:43:00,Cash,4.2
861-77-0145,C,Houston,Member,Male,Electronic accessories, $819.70 , $860.69 ,03/03/19,2019,3,3,03/03/19,14:30:00,Cash,9.2
479-26-8945,B,Chicago,Member,Female,Sports and travel, $32.98 , $34.63 ,02/05/19,2019,2,5,05/02/19,11:32:00,Ewallet,4.6
210-67-5886,C,Houston,Member,Female,Health and beauty, $294.63 , $309.36 ,02/05/19,2019,2,5,05/02/19,10:41:00,Credit card,7.8
227-78-1148,B,Chicago,Normal,Female,Fashion accessories, $509.88 , $535.37 ,2/15/2019,2019,2,15,15/02/19,12:44:00,Cash,8.4
645-44-1170,A,Nueva York,Member,Male,Home and lifestyle, $522.63 , $548.76 ,1/19/2019,2019,1,19,19/01/19,20:07:00,Ewallet,4.3
237-01-6122,C,Houston,Member,Female,Home and lifestyle, $727.11 , $763.47 ,02/01/19,2019,2,1,01/02/19,20:31:00,Credit card,9.5
225-98-1496,C,Houston,Normal,Female,Fashion accessories, $81.06 , $85.11 ,03/02/19,2019,3,2,02/03/19,13:01:00,Credit card,7.1
291-32-1427,B,Chicago,Member,Male,Fashion accessories, $109.70 , $115.19 ,03/05/19,2019,3,5,05/03/19,12:29:00,Ewallet,5.3
659-65-8956,B,Chicago,Member,Male,Fashion accessories, $51.36 , $53.93 ,1/16/2019,2019,1,16,16/01/19,15:26:00,Ewallet,5.2
642-32-2990,A,Nueva York,Normal,Female,Food and beverages, $109.60 , $115.08 ,02/02/19,2019,2,2,02/02/19,20:48:00,Ewallet,6.0
378-24-2715,B,Chicago,Normal,Male,Home and lifestyle, $106.88 , $112.22 ,1/20/2019,2019,1,20,20/01/19,20:38:00,Ewallet,4.1
638-60-7125,A,Nueva York,Normal,Female,Electronic accessories, $796.48 , $836.30 ,2/14/2019,2019,2,14,14/02/19,17:03:00,Credit card,5.2
659-36-1684,C,Houston,Member,Male,Sports and travel, $399.84 , $419.83 ,01/12/19,2019,1,12,12/01/19,12:02:00,Credit card,6.5
219-22-9386,B,Chicago,Member,Male,Sports and travel, $899.64 , $944.62 ,03/09/19,2019,3,9,09/03/19,17:26:00,Credit card,4.2
336-78-2147,C,Houston,Member,Male,Home and lifestyle, $511.28 , $536.84 ,3/13/2019,2019,3,13,13/03/19,19:52:00,Credit card,4.6
268-27-6179,B,Chicago,Member,Female,Fashion accessories, $451.76 , $474.35 ,03/09/19,2019,3,9,09/03/19,14:57:00,Ewallet,7.3
668-90-8900,A,Nueva York,Normal,Female,Home and lifestyle, $655.83 , $688.62 ,03/10/19,2019,3,10,10/03/19,18:44:00,Credit card,4.5
870-54-3162,A,Nueva York,Normal,Female,Sports and travel, $161.25 , $169.31 ,1/27/2019,2019,1,27,27/01/19,13:26:00,Cash,9.0
189-08-9157,C,Houston,Normal,Female,Fashion accessories, $285.57 , $299.85 ,01/08/19,2019,1,8,08/01/19,16:17:00,Credit card,5.9
663-86-9076,C,Houston,Member,Female,Food and beverages, $548.32 , $575.74 ,01/08/19,2019,1,8,08/01/19,15:57:00,Ewallet,8.5
549-84-7482,B,Chicago,Normal,Female,Sports and travel, $812.52 , $853.15 ,02/08/19,2019,2,8,08/02/19,11:15:00,Ewallet,7.2
191-10-6171,B,Chicago,Normal,Female,Fashion accessories, $277.34 , $291.21 ,1/25/2019,2019,1,25,25/01/19,13:18:00,Cash,7.5
802-70-5316,A,Nueva York,Member,Female,Sports and travel, $552.78 , $580.42 ,03/06/19,2019,3,6,06/03/19,20:34:00,Cash,8.3
695-51-0018,B,Chicago,Normal,Female,Sports and travel, $139.36 , $146.33 ,02/10/19,2019,2,10,10/02/19,18:36:00,Cash,7.4
590-83-4591,B,Chicago,Member,Male,Electronic accessories, $524.70 , $550.94 ,2/17/2019,2019,2,17,17/02/19,14:40:00,Credit card,8.8
483-71-1164,C,Houston,Normal,Female,Health and beauty, $487.80 , $512.19 ,03/08/19,2019,3,8,08/03/19,16:43:00,Ewallet,5.3
597-78-7908,C,Houston,Normal,Male,Fashion accessories, $270.66 , $284.19 ,2/18/2019,2019,2,18,18/02/19,19:39:00,Cash,6.2
700-81-1757,A,Nueva York,Normal,Female,Electronic accessories, $131.55 , $138.13 ,1/18/2019,2019,1,18,18/01/19,20:59:00,Credit card,8.8
354-39-5160,A,Nueva York,Member,Female,Home and lifestyle, $206.52 , $216.85 ,2/18/2019,2019,2,18,18/02/19,15:39:00,Cash,9.8
241-72-9525,B,Chicago,Normal,Male,Sports and travel, $519.10 , $545.06 ,2/16/2019,2019,2,16,16/02/19,12:21:00,Cash,8.2
575-30-8091,A,Nueva York,Normal,Male,Sports and travel, $580.00 , $609.00 ,3/16/2019,2019,3,16,16/03/19,19:25:00,Ewallet,9.2
731-81-9469,C,Houston,Member,Female,Sports and travel, $898.00 , $942.90 ,1/23/2019,2019,1,23,23/01/19,13:00:00,Credit card,5.4
280-17-4359,C,Houston,Member,Male,Health and beauty, $905.00 , $950.25 ,1/25/2019,2019,1,25,25/01/19,13:48:00,Cash,8.1
338-65-2210,C,Houston,Member,Female,Health and beauty, $686.00 , $720.30 ,02/05/19,2019,2,5,05/02/19,19:57:00,Cash,9.1
488-25-4221,C,Houston,Member,Female,Food and beverages, $30.41 , $31.93 ,2/22/2019,2019,2,22,22/02/19,10:36:00,Credit card,8.4
239-10-7476,A,Nueva York,Normal,Female,Home and lifestyle, $467.70 , $491.09 ,1/21/2019,2019,1,21,21/01/19,16:37:00,Ewallet,8.0
458-41-1477,C,Houston,Normal,Female,Health and beauty, $277.56 , $291.44 ,03/08/19,2019,3,8,08/03/19,17:11:00,Credit card,9.5
685-64-1609,A,Nueva York,Member,Female,Fashion accessories, $301.40 , $316.47 ,02/10/19,2019,2,10,10/02/19,12:28:00,Ewallet,9.2
568-90-5112,C,Houston,Normal,Male,Health and beauty, $264.56 , $277.79 ,3/19/2019,2019,3,19,19/03/19,12:46:00,Credit card,5.6
262-47-2794,B,Chicago,Member,Male,Home and lifestyle, $574.88 , $603.62 ,03/06/19,2019,3,6,06/03/19,15:07:00,Credit card,6.2
238-49-0436,A,Nueva York,Normal,Male,Health and beauty, $259.68 , $272.66 ,3/27/2019,2019,3,27,27/03/19,13:48:00,Credit card,4.9
608-96-3517,B,Chicago,Member,Female,Fashion accessories, $366.16 , $384.47 ,3/23/2019,2019,3,23,23/03/19,19:20:00,Credit card,4.8
584-86-7256,C,Houston,Member,Male,Sports and travel, $241.92 , $254.02 ,03/11/19,2019,3,11,11/03/19,16:07:00,Credit card,7.3
746-94-0204,A,Nueva York,Normal,Male,Fashion accessories, $749.16 , $786.62 ,1/29/2019,2019,1,29,29/01/19,11:56:00,Credit card,7.4
214-17-6927,C,Houston,Normal,Female,Food and beverages, $98.88 , $103.82 ,02/07/19,2019,2,7,07/02/19,18:23:00,Ewallet,9.9
400-89-4171,C,Houston,Normal,Female,Sports and travel, $647.76 , $680.15 ,1/28/2019,2019,1,28,28/01/19,13:05:00,Cash,9.3
782-95-9291,A,Nueva York,Member,Male,Food and beverages, $461.45 , $484.52 ,2/20/2019,2019,2,20,20/02/19,15:55:00,Credit card,9.0
279-74-2924,B,Chicago,Member,Male,Electronic accessories, $72.17 , $75.78 ,01/04/19,2019,1,4,04/01/19,19:40:00,Cash,6.1
307-85-2293,B,Chicago,Normal,Male,Home and lifestyle, $251.40 , $263.97 ,03/07/19,2019,3,7,07/03/19,13:58:00,Ewallet,9.7
743-04-1105,B,Chicago,Member,Male,Health and beauty, $874.98 , $918.73 ,3/30/2019,2019,3,30,30/03/19,14:43:00,Ewallet,6.0
423-57-2993,B,Chicago,Normal,Male,Sports and travel, $560.34 , $588.36 ,3/27/2019,2019,3,27,27/03/19,19:18:00,Ewallet,10.0
894-41-5205,C,Houston,Normal,Female,Food and beverages, $345.44 , $362.71 ,1/19/2019,2019,1,19,19/01/19,19:39:00,Credit card,8.3
275-28-0149,A,Nueva York,Normal,Male,Sports and travel, $63.69 , $66.87 ,2/25/2019,2019,2,25,25/02/19,16:21:00,Cash,6.0
101-17-6199,A,Nueva York,Normal,Male,Food and beverages, $320.53 , $336.56 ,3/13/2019,2019,3,13,13/03/19,19:44:00,Credit card,7.0
423-80-0988,C,Houston,Normal,Male,Sports and travel, $152.80 , $160.44 ,1/30/2019,2019,1,30,30/01/19,19:42:00,Ewallet,6.5
548-46-9322,B,Chicago,Normal,Male,Food and beverages, $399.00 , $418.95 ,2/20/2019,2019,2,20,20/02/19,15:24:00,Credit card,5.9
505-02-0892,B,Chicago,Member,Male,Health and beauty, $340.56 , $357.59 ,2/25/2019,2019,2,25,25/02/19,14:12:00,Ewallet,5.6
234-65-2137,C,Houston,Normal,Male,Home and lifestyle, $955.80 ," $1,003.59 ",1/16/2019,2019,1,16,16/01/19,13:32:00,Cash,4.8
687-47-8271,A,Nueva York,Normal,Male,Fashion accessories, $989.80 ," $1,039.29 ",02/08/19,2019,2,8,08/02/19,16:20:00,Credit card,8.7
796-32-9050,A,Nueva York,Normal,Male,Food and beverages, $307.68 , $323.06 ,1/19/2019,2019,1,19,19/01/19,16:31:00,Cash,6.5
105-31-1824,A,Nueva York,Member,Male,Sports and travel, $486.64 , $510.97 ,02/01/19,2019,2,1,01/02/19,15:10:00,Credit card,8.5
249-42-3782,A,Nueva York,Normal,Male,Health and beauty, $350.05 , $367.55 ,01/03/19,2019,1,3,03/01/19,11:36:00,Ewallet,5.5
316-55-4634,B,Chicago,Member,Male,Food and beverages, $400.25 , $420.26 ,1/26/2019,2019,1,26,26/01/19,12:45:00,Credit card,9.4
733-33-4967,C,Houston,Normal,Male,Electronic accessories, $166.80 , $175.14 ,03/03/19,2019,3,3,03/03/19,19:17:00,Cash,6.3
608-27-6295,B,Chicago,Member,Male,Electronic accessories, $317.34 , $333.21 ,1/19/2019,2019,1,19,19/01/19,17:34:00,Credit card,9.8
414-12-7047,B,Chicago,Normal,Male,Food and beverages, $158.32 , $166.24 ,1/18/2019,2019,1,18,18/01/19,12:04:00,Ewallet,8.7
827-26-2100,A,Nueva York,Member,Male,Home and lifestyle, $304.56 , $319.79 ,3/21/2019,2019,3,21,21/03/19,16:21:00,Ewallet,8.8
175-54-2529,A,Nueva York,Member,Male,Food and beverages, $177.36 , $186.23 ,03/03/19,2019,3,3,03/03/19,17:01:00,Credit card,9.6
139-52-2867,C,Houston,Normal,Female,Fashion accessories, $157.57 , $165.45 ,2/13/2019,2019,2,13,13/02/19,10:50:00,Credit card,4.8
407-63-8975,A,Nueva York,Normal,Male,Food and beverages, $443.28 , $465.44 ,3/23/2019,2019,3,23,23/03/19,19:16:00,Ewallet,4.4
342-65-4817,C,Houston,Member,Male,Health and beauty, $260.40 , $273.42 ,1/28/2019,2019,1,28,28/01/19,16:47:00,Ewallet,9.9
130-98-8941,C,Houston,Normal,Male,Fashion accessories, $449.82 , $472.31 ,02/09/19,2019,2,9,09/02/19,10:00:00,Cash,5.7
434-83-9547,C,Houston,Member,Male,Food and beverages, $307.76 , $323.15 ,1/23/2019,2019,1,23,23/01/19,11:51:00,Cash,7.7
851-28-6367,A,Nueva York,Member,Male,Sports and travel, $155.00 , $162.75 ,3/23/2019,2019,3,23,23/03/19,10:55:00,Ewallet,8.0
